geo_param_run,geo_param_vehicle_length,geo_param_vehicle_width,geo_param_vehicle_height,geo_param_front_overhang,geo_param_front_planview,geo_param_hood_angle,geo_param_approach_angle,geo_param_windscreen_angle,geo_param_greenhouse_tapering,geo_param_backlight_angle,geo_param_decklid_height,geo_param_rearend_tapering,geo_param_rear_overhang,geo_param_rear_diffusor_angle,geo_param_vehicle_ride_height,geo_param_vehicle_pitch,run_id,force_run,force_cd,force_cl,force_clf,force_clr,force_cs,force_constref_run,force_constref_cd,force_constref_cl,force_constref_clf,force_constref_clr,force_constref_cs,source_dataset,dataset_version,ingested_at,source_file_count,source_files_json,cd,cl,cs
1,186.075,-21.1234,56.6198,49.61,61.7471,-30.2449,-16.5344,80.4689,-44.4451,66.191,-2.26029,10.6193,-58.8039,1.34009,45.223,0.83239,1,1.0,0.3035117,0.06772802,-0.03728616,0.1050142,0.04766758,1.0,0.3109247,0.06938221,-0.04537165,0.1147539,0.04883181,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.3035117,0.06772802,0.04766758
2,-13.9249,78.8766,-43.3802,-75.39,-13.2529,19.7551,18.4656,-69.5311,55.5549,-83.809,47.7397,-69.3807,66.1961,-48.6599,-4.77703,-0.16761,2,2.0,0.2811713,0.0454534,-0.03757807,0.08303147,0.003035559,2.0,0.2952946,0.04773654,-0.03902183,0.08675837,0.003188037,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2811713,0.0454534,0.003035559
3,-113.925,28.8766,-93.3802,-137.89,-50.7529,-5.24486,0.965593,-144.531,5.55494,141.191,22.7397,50.6193,3.69612,26.3401,-29.777,-0.66761,3,3.0,0.2580971,0.009539138,-0.1214874,0.1310265,0.01850013,3.0,0.252388,0.009328134,-0.1135493,0.1228774,0.01809091,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2580971,0.009539138,0.01850013
4,86.0751,-71.1234,6.61985,-12.89,24.2471,44.7551,-34.0344,5.46888,-94.4451,-8.80901,-27.2603,-29.3807,-121.304,-23.6599,20.223,0.33239,4,4.0,0.2882351,0.04952113,-0.08949596,0.1390171,0.02848573,4.0,0.2741554,0.04710213,-0.0891971,0.1362992,0.02709426,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2882351,0.04952113,0.02848573
5,236.075,-96.1234,81.6198,-44.14,-69.5029,32.2551,-7.78441,-32.0311,-19.4451,-46.309,10.2397,-49.3807,-27.5539,-36.1599,-42.277,0.0823902,5,5.0,0.2453419,-0.04907301,-0.09896183,0.04988882,-0.01021062,5.0,0.2317746,-0.0463593,-0.09747833,0.05111903,-0.00964598,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2453419,-0.04907301,-0.01021062
6,36.0751,3.87658,-18.3802,80.86,5.49711,-17.7449,27.2156,117.969,80.5549,103.691,-39.7603,30.6193,97.4461,13.8401,7.72297,-0.91761,6,6.0,0.2646273,-0.03842136,-0.1275001,0.08907874,0.0101235,6.0,0.26292,-0.03817348,-0.1278154,0.08964187,0.01005818,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2646273,-0.03842136,0.0101235
7,-63.9249,-46.1234,-68.3802,18.36,-32.0029,-42.7449,9.71559,42.9689,30.5549,28.691,35.2397,-9.38066,34.9461,-11.1599,-17.277,0.58239,7,7.0,0.2659051,-0.004953184,-0.04644796,0.04149477,0.002893948,7.0,0.2347808,-0.00437341,-0.04016724,0.03579383,0.002555209,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2659051,-0.004953184,0.002893948
8,136.075,53.8766,31.6198,-106.64,42.9971,7.25514,-25.2844,-107.031,-69.4451,178.691,-14.7603,-89.3807,-90.0539,38.8401,32.723,-0.41761,8,8.0,0.2950137,0.03005744,-0.1078238,0.1378812,0.0197102,8.0,0.3328081,0.03390811,-0.1292197,0.1631278,0.02223528,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2950137,0.03005744,0.0197102
9,211.075,41.3766,-30.8802,2.73501,71.1221,1.00514,22.8406,24.2189,-31.9451,159.941,-46.0103,-19.3807,-43.1789,32.5901,1.47297,0.45739,9,9.0,0.2810974,0.1278322,0.0006574871,0.1271747,0.02164054,9.0,0.290165,0.1319558,-0.00925456,0.1412104,0.02233862,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2810974,0.1278322,0.02164054
10,11.0751,-58.6234,69.1198,-122.265,-3.87789,-48.9949,-12.1594,-125.781,68.0549,9.94099,3.98971,60.6193,81.8211,-17.4099,-48.527,-0.54261,10,10.0,0.2402401,-0.07391179,-0.1541897,0.08027796,0.00783546,10.0,0.2309405,-0.07105068,-0.1485208,0.07747012,0.007532151,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2402401,-0.07391179,0.00783546
